category,date,sales
Cafe Beverages,2021-01-14 18:00:00,18900.74
Cafe Beverages,2021-01-14 19:00:00,12476.39
Cafe Beverages,2021-01-14 20:00:00,8984.05
Cafe Beverages,2021-01-14 21:00:00,4123.11
Cafe Beverages,2021-01-14 22:00:00,2600.43
Cafe Beverages,2021-01-15 1:00:00,75.89
Cafe Beverages,2021-01-15 5:00:00,119
Cafe Beverages,2021-01-15 6:00:00,238
Cafe Beverages,2021-01-15 8:00:00,1612.19
Cafe Beverages,2021-01-15 9:00:00,2210.87
Cafe Beverages,2021-01-15 10:00:00,3014.23
Cafe Beverages,2021-01-15 11:00:00,10088.96
Cafe Beverages,2021-01-15 12:00:00,6350.01
Cafe Beverages,2021-01-15 13:00:00,11651.44
Cafe Beverages,2021-01-15 14:00:00,11613.12
Cafe Beverages,2021-01-15 15:00:00,13884.56
Cafe Beverages,2021-01-15 16:00:00,11814.07
Cafe Beverages,2021-01-15 17:00:00,12755.04
Cafe Beverages,2021-01-15 18:00:00,13619.09
Cafe Beverages,2021-01-15 19:00:00,10659.78
Cafe Beverages,2021-01-15 20:00:00,6894.47
Cafe Beverages,2021-01-15 21:00:00,5006.89
Cafe Beverages,2021-01-15 22:00:00,2635.31
Cafe Beverages,2021-01-15 23:00:00,746.13
Cafe Beverages,2021-01-16 0:00:00,198
Cafe Beverages,2021-01-16 1:00:00,285.73
Cafe Beverages,2021-01-16 5:00:00,119
Cafe Beverages,2021-01-16 6:00:00,595
Cafe Beverages,2021-01-16 7:00:00,119
Cafe Beverages,2021-01-16 8:00:00,922.63
Cafe Beverages,2021-01-16 9:00:00,2441.3
Cafe Beverages,2021-01-16 10:00:00,4696.08
Cafe Beverages,2021-01-16 11:00:00,8860.92
Cafe Beverages,2021-01-16 12:00:00,13185.39
Cafe Beverages,2021-01-16 13:00:00,16573.25
Cafe Beverages,2021-01-16 14:00:00,17793.42
Cafe Beverages,2021-01-16 15:00:00,20430.03
Cafe Beverages,2021-01-16 16:00:00,19589.16
Cafe Beverages,2021-01-16 17:00:00,22201.16
Cafe Beverages,2021-01-16 18:00:00,21700.15
Cafe Beverages,2021-01-16 19:00:00,15367.8
